SessionID,Name,Description,Severity,Line,Column,ParentFile,TopLevelCategory,Code
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64263,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64295,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64339,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64395,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64518,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64748,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64780,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64824,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,64880,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65080,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65232,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65264,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65308,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65364,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65403,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65526,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,65862,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,66208,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,66272,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,66355,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,74479,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,74553,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,74588,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,ClusterByPerformanceReview,** MSC-WARNING - MSCEWI2008 - PERFORMANCE REVIEW - CLUSTER BY **,Low,74641,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2008
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,6,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,66,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,82,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,98,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,134,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,320,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,336,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,352,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,389,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,405,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,482,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,1456,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,3267,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,5164,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,8440,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,8504,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,10146,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,11188,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,11333,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,11944,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,14818,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,15088,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,15435,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18178,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18225,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18315,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18393,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18411,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18459,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18485,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18537,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18555,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18596,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18622,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18718,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18784,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18809,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18862,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18879,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18896,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18921,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18944,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18967,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,18995,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,19031,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,19064,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
098b900f-8965-427d-87ba-ccd671309180,SetTableNotSupported,** MSC-WARNING - MSCEWI2015 - SET TABLE FUNCTIONALITY NOT SUPPORTED. TABLE MIGHT HAVE DUPLICATE ROWS **,Low,19085,0,CLI_T12/CLI/TC_401780/Table_DDL_accross_Databases.sql,No category specified,MSCEWI2015
